N_BODY	GFLOPS_GPU	GFLOPS_CPU	TIME_GPU	TIME_CPU	GPUvsCPU
256	37.026	1.567	0.354	8.362	23.621
512	76.875	1.541	0.682	34.017	49.878
768	116.336	1.566	1.014	75.334	74.294
1024	155.345	1.553	1.350	135.024	100.018
1280	192.300	1.559	1.704	210.204	123.359
1536	228.614	1.556	2.064	303.196	146.897
1792	260.338	1.591	2.467	403.736	163.655
2048	294.544	1.583	2.848	529.953	186.079
2304	329.818	1.626	3.219	653.092	202.887
N_BODY	GFLOPS_GPU	GFLOPS_CPU	TIME_GPU	TIME_CPU	GPUvsCPU
256	37.131	1.567	0.353	8.367	23.703
512	76.988	1.537	0.681	34.119	50.101
768	116.451	1.483	1.013	79.528	78.507
1024	155.460	1.516	1.349	138.376	102.577
1280	192.413	1.566	1.703	209.284	122.891
1536	228.725	1.585	2.063	297.739	144.323
1792	260.655	1.586	2.464	405.001	164.367
2048	294.958	1.599	2.844	524.674	184.485
2304	330.228	1.595	3.215	665.565	207.019
N_BODY	GFLOPS_GPU	GFLOPS_CPU	TIME_GPU	TIME_CPU	GPUvsCPU
256	5.352	1.793	2.449	7.311	2.985
512	19.585	1.822	2.677	28.770	10.747
768	40.206	1.821	2.934	64.769	22.075
1024	66.534	1.853	3.152	113.153	35.899
1280	99.297	1.837	3.300	178.408	54.063
1536	373.602	1.868	1.263	252.544	199.956
1792	172.649	1.875	3.720	342.609	92.099
2048	208.206	1.865	4.029	449.854	111.654
2304	258.003	1.863	4.115	569.904	138.494
N_BODY	GFLOPS_GPU	GFLOPS_CPU	TIME_GPU	TIME_CPU	GPUvsCPU
128	17.210	0.847	1.904	38.686	20.318
256	34.294	0.858	3.822	152.772	39.972
384	58.054	0.855	5.080	345.033	67.920
512	75.655	0.981	6.930	534.504	77.129
640	93.345	0.855	8.776	958.071	109.169
768	117.180	0.995	10.067	1185.913	117.802
896	134.916	0.853	11.901	1882.452	158.176
1024	158.779	0.856	13.208	2449.426	185.450
1152	175.845	0.861	15.094	3082.847	204.243
N_BODY	GFLOPS_GPU	GFLOPS_CPU	TIME_GPU	TIME_CPU	GPUvsCPU
128	27.239	1.610	1.203	20.355	16.920
256	58.048	1.627	2.258	80.540	35.669
384	89.286	1.632	3.303	180.740	54.720
512	121.251	1.631	4.324	321.361	74.320
640	152.750	1.936	5.363	423.108	78.894
768	183.832	2.009	6.417	587.141	91.498
896	215.261	2.011	7.459	798.418	107.041
1024	247.422	2.013	8.476	1042.034	122.939
1152	278.277	2.010	9.538	1320.284	138.424
